ensgid	gene_name	hg38_chr	hg38_start0	hg38_end	hg38_strand	hg19_chr	hg19_start0	hg19_end	hg19_strand
ENSG00000242485	MRPL20	chr1	1401907	1407306	-	chr1	1337287	1342686	-
ENSG00000235098	ANKRD65	chr1	1415636	1421769	-	chr1	1351016	1357149	-
ENSG00000205116	TMEM88B	chr1	1425870	1430255	+	chr1	1361250	1365635	+
ENSG00000179403	VWA1	chr1	1434860	1442882	+	chr1	1370240	1378262	+
ENSG00000215915	ATAD3C	chr1	1449688	1470163	+	chr1	1385068	1405543	+
ENSG00000160072	ATAD3B	chr1	1471755	1497848	+	chr1	1407135	1433228	+
ENSG00000197785	ATAD3A	chr1	1512146	1534686	+	chr1	1447526	1470066	+
ENSG00000205090	TMEM240	chr1	1534777	1540624	-	chr1	1470157	1476004	-
ENSG00000160075	SSU72	chr1	1541672	1574884	-	chr1	1477052	1510264	-
ENSG00000228594	FNDC10	chr1	1598011	1600135	-	chr1	1533391	1535515	-
ENSG00000197530	MIB2	chr1	1615433	1630610	+	chr1	1550813	1565990	+
ENSG00000189409	MMP23B	chr1	1631664	1635263	+	chr1	1567043	1570639	+
ENSG00000248333	CDK11B	chr1	1635224	1659234	-	chr1	1570600	1590695	-
ENSG00000189339	SLC35E2B	chr1	1659528	1693017	-	chr1	1590989	1624456	-
ENSG00000008128	CDK11A	chr1	1702378	1724482	-	chr1	1633817	1655921	-
ENSG00000008130	NADK	chr1	1751231	1780544	-	chr1	1682670	1711983	-
ENSG00000078369	GNB1	chr1	1785284	1892292	-	chr1	1716723	1823731	-
ENSG00000169885	CALML6	chr1	1915107	1917296	+	chr1	1846546	1848735	+
ENSG00000178821	TMEM52	chr1	1917588	1919329	-	chr1	1849027	1850768	-
ENSG00000142609	CFAP74	chr1	1921950	2003837	-	chr1	1853389	1935276	-
ENSG00000187730	GABRD	chr1	2019328	2030758	+	chr1	1950767	1962197	+
ENSG00000067606	PRKCZ	chr1	2050410	2185395	+	chr1	1981849	2116834	+
ENSG00000162585	FAAP20	chr1	2184460	2212720	-	chr1	2115899	2144159	-
ENSG00000157933	SKI	chr1	2227387	2310213	+	chr1	2158826	2241652	+
ENSG00000116151	MORN1	chr1	2319207	2391707	-	chr1	2250646	2323146	-
ENSG00000157916	RER1	chr1	2390669	2405444	+	chr1	2322108	2336883	+
ENSG00000157911	PEX10	chr1	2403963	2413797	-	chr1	2335402	2345236	-
ENSG00000149527	PLCH2	chr1	2425979	2505532	+	chr1	2357418	2436971	+
ENSG00000157881	PANK4	chr1	2508533	2526612	-	chr1	2439972	2458051	-
ENSG00000197921	HES5	chr1	2528744	2530263	-	chr1	2460183	2461702	-
ENSG00000157873	TNFRSF14	chr1	2554243	2565382	+	chr1	2485682	2496821	+
ENSG00000157870	PRXL2B	chr1	2586490	2591470	+	chr1	2517929	2522909	+
ENSG00000142606	MMEL1	chr1	2590638	2633016	-	chr1	2522077	2564455	-
ENSG00000215912	TTC34	chr1	2636985	2801693	-	chr1	2568424	2718258	-
ENSG00000169717	ACTRT2	chr1	3021466	3022903	+	chr1	2938030	2939467	+
ENSG00000142611	PRDM16	chr1	3069167	3438621	+	chr1	2985731	3355185	+
ENSG00000130762	ARHGEF16	chr1	3454549	3481127	+	chr1	3371113	3397691	+
ENSG00000162591	MEGF6	chr1	3487941	3611543	-	chr1	3404505	3528107	-
ENSG00000158109	TPRG1L	chr1	3624978	3630131	+	chr1	3541542	3546695	+
ENSG00000116213	WRAP73	chr1	3630766	3652761	-	chr1	3547330	3569325	-
ENSG00000078900	TP73	chr1	3652515	3736201	+	chr1	3569079	3652765	+
ENSG00000162592	CCDC27	chr1	3746459	3771645	+	chr1	3663023	3688209	+
ENSG00000235169	SMIM1	chr1	3772654	3776709	+	chr1	3689218	3693273	+
ENSG00000130764	LRRC47	chr1	3778558	3796511	-	chr1	3695122	3713075	-
ENSG00000116198	CEP104	chr1	3812085	3857723	-	chr1	3728649	3774287	-
ENSG00000169598	DFFB	chr1	3857266	3885429	+	chr1	3773830	3801993	+
ENSG00000198912	C1orf174	chr1	3889124	3900293	-	chr1	3805688	3816857	-
ENSG00000196581	AJAP1	chr1	4654608	4792534	+	chr1	4714668	4852594	+
ENSG00000131697	NPHP4	chr1	5862803	5993455	-	chr1	5922863	6053515	-
ENSG00000069424	KCNAB2	chr1	5990926	6101193	+	chr1	6050986	6161253	+
ENSG00000116254	CHD5	chr1	6101786	6180321	-	chr1	6161846	6240381	-
ENSG00000116251	RPL22	chr1	6185019	6209389	-	chr1	6245079	6269449	-
ENSG00000158286	RNF207	chr1	6205391	6221299	+	chr1	6265451	6281359	+
ENSG00000116237	ICMT	chr1	6221192	6235972	-	chr1	6281252	6296032	-
ENSG00000173673	HES3	chr1	6244178	6245578	+	chr1	6304238	6305638	+
ENSG00000158292	GPR153	chr1	6247346	6261098	-	chr1	6307406	6321158	-
ENSG00000097021	ACOT7	chr1	6264267	6393767	-	chr1	6324327	6453827	-
ENSG00000069812	HES2	chr1	6412417	6424690	-	chr1	6472477	6484750	-
ENSG00000187017	ESPN	chr1	6424775	6461367	+	chr1	6484835	6521427	+
ENSG00000215788	TNFRSF25	chr1	6460785	6466181	-	chr1	6520845	6526241	-
ENSG00000171680	PLEKHG5	chr1	6467121	6520074	-	chr1	6527181	6580134	-
ENSG00000162408	NOL9	chr1	6521346	6554536	-	chr1	6581406	6614596	-
ENSG00000173662	TAS1R1	chr1	6555306	6579755	+	chr1	6615366	6639815	+
ENSG00000204859	ZBTB48	chr1	6579993	6589280	+	chr1	6640053	6649340	+
ENSG00000162413	KLHL21	chr1	6590723	6614607	-	chr1	6650783	6674667	-
ENSG00000116273	PHF13	chr1	6613730	6624030	+	chr1	6673790	6684090	+
ENSG00000041988	THAP3	chr1	6624844	6635586	+	chr1	6684904	6695646	+
ENSG00000007923	DNAJC11	chr1	6634167	6701924	-	chr1	6694227	6761984	-
ENSG00000171735	CAMTA1	chr1	6785453	7769706	+	chr1	6845513	7829766	+
ENSG00000049245	VAMP3	chr1	7771295	7781432	+	chr1	7831355	7841492	+
ENSG00000049246	PER3	chr1	7784290	7845181	+	chr1	7844350	7905241	+
ENSG00000049247	UTS2	chr1	7843082	7853512	-	chr1	7903142	7913572	-
ENSG00000049249	TNFRSF9	chr1	7915870	7943165	-	chr1	7975930	8003225	-
ENSG00000116288	PARK7	chr1	7954263	7985505	+	chr1	8014323	8045565	+
ENSG00000116285	ERRFI1	chr1	8004403	8026312	-	chr1	8064463	8086372	-
ENSG00000162426	SLC45A1	chr1	8318103	8344167	+	chr1	8378163	8404227	+
ENSG00000142599	RERE	chr1	8352396	8848921	-	chr1	8412456	8908980	-
ENSG00000074800	ENO1	chr1	8860976	8879289	-	chr1	8921035	8939348	-
ENSG00000131686	CA6	chr1	8945866	8975092	+	chr1	9005925	9035151	+
ENSG00000197241	SLC2A7	chr1	9002972	9026423	-	chr1	9063031	9086482	-
ENSG00000142583	SLC2A5	chr1	9035105	9088478	-	chr1	9095164	9148537	-
ENSG00000180758	GPR157	chr1	9100304	9129122	-	chr1	9160363	9189181	-
ENSG00000049239	H6PD	chr1	9234773	9271337	+	chr1	9294832	9331396	+
ENSG00000171621	SPSB1	chr1	9292100	9369532	+	chr1	9352159	9429591	+
ENSG00000171612	SLC25A33	chr1	9539464	9585173	+	chr1	9599523	9645231	+
ENSG00000188807	TMEM201	chr1	9588720	9614877	+	chr1	9648778	9674935	+
ENSG00000171608	PIK3CD	chr1	9629888	9730117	+	chr1	9689946	9790175	+
ENSG00000171603	CLSTN1	chr1	9728925	9823993	-	chr1	9788983	9884051	-
ENSG00000178585	CTNNBIP1	chr1	9848268	9910368	-	chr1	9908326	9970426	-
ENSG00000162441	LZIC	chr1	9922112	9943407	-	chr1	9982170	10003465	-
ENSG00000173614	NMNAT1	chr1	9943427	9985501	+	chr1	10003485	10045559	+
ENSG00000162444	RBP7	chr1	9997053	10016021	+	chr1	10057111	10076079	+
ENSG00000130939	UBE4B	chr1	10032831	10181244	+	chr1	10092889	10241302	+
ENSG00000054523	KIF1B	chr1	10210532	10381606	+	chr1	10270590	10441664	+
ENSG00000142657	PGD	chr1	10398591	10420511	+	chr1	10458648	10480568	+
ENSG00000175279	CENPS	chr1	10430432	10442808	+	chr1	10490489	10502865	+
ENSG00000241563	CORT	chr1	10450030	10451998	+	chr1	10510087	10512055	+
ENSG00000160049	DFFA	chr1	10456521	10472549	-	chr1	10516578	10532606	-
ENSG00000142655	PEX14	chr1	10472287	10630758	+	chr1	10532344	10690815	+
ENSG00000130940	CASZ1	chr1	10636603	10796650	-	chr1	10696660	10856707	-
ENSG00000175262	CIROZ	chr1	10946470	10982076	-	chr1	11006527	11042133	-
ENSG00000120948	TARDBP	chr1	11012343	11030528	+	chr1	11072400	11090585	+
ENSG00000009724	MASP2	chr1	11022008	11047241	-	chr1	11082065	11107298	-
ENSG00000116649	SRM	chr1	11054583	11060053	-	chr1	11114640	11120110	-
ENSG00000171824	EXOSC10	chr1	11066612	11099898	-	chr1	11126669	11159955	-
ENSG00000198793	MTOR	chr1	11106530	11262556	-	chr1	11166587	11322613	-
ENSG00000171819	ANGPTL7	chr1	11189354	11195981	+	chr1	11249411	11256038	+
ENSG00000120942	UBIAD1	chr1	11273197	11296049	+	chr1	11333254	11356106	+
ENSG00000204624	DISP3	chr1	11478904	11537583	+	chr1	11538961	11597640	+
ENSG00000116661	FBXO2	chr1	11637017	11655785	-	chr1	11697074	11715842	-
ENSG00000132879	FBXO44	chr1	11650617	11663327	+	chr1	11710674	11723384	+
ENSG00000116670	MAD2L2	chr1	11657229	11692605	-	chr1	11717286	11752662	-
ENSG00000116663	FBXO6	chr1	11664188	11674354	+	chr1	11724245	11734411	+
ENSG00000162490	DRAXIN	chr1	11690957	11725857	+	chr1	11751014	11785914	+
ENSG00000177674	AGTRAP	chr1	11736083	11754802	+	chr1	11796140	11814859	+
ENSG00000215910	C1orf167	chr1	11761786	11789585	+	chr1	11821843	11849642	+
ENSG00000177000	MTHFR	chr1	11785722	11806455	-	chr1	11845779	11866512	-
ENSG00000011021	CLCN6	chr1	11806095	11848079	+	chr1	11866152	11908136	+
ENSG00000175206	NPPA	chr1	11845708	11848345	-	chr1	11905765	11908402	-
ENSG00000120937	NPPB	chr1	11857463	11858976	-	chr1	11917520	11919033	-
ENSG00000116685	KIAA2013	chr1	11919590	11926428	-	chr1	11979647	11986485	-
ENSG00000083444	PLOD1	chr1	11934204	11975542	+	chr1	11994261	12035599	+
ENSG00000116688	MFN2	chr1	11980180	12015211	+	chr1	12040237	12075268	+
ENSG00000116691	MIIP	chr1	12019465	12032046	+	chr1	12079522	12092103	+
ENSG00000120949	TNFRSF8	chr1	12063302	12144207	+	chr1	12123359	12204264	+
ENSG00000028137	TNFRSF1B	chr1	12166976	12209228	+	chr1	12227033	12269285	+
ENSG00000048707	VPS13D	chr1	12230029	12512047	+	chr1	12290086	12572099	+
ENSG00000162496	DHRS3	chr1	12567908	12620133	-	chr1	12627937	12680139	-
ENSG00000204518	AADACL4	chr1	12644084	12667076	+	chr1	12704103	12727087	+
ENSG00000188984	AADACL3	chr1	12716109	12728760	+	chr1	12776112	12788727	+
ENSG00000157330	CFAP107	chr1	12746199	12763699	+	chr1	12806147	12823847	+
ENSG00000116726	PRAMEF12	chr1	12773737	12777906	+	chr1	12833880	12838049	+
ENSG00000116721	PRAMEF1	chr1	12791396	12796628	+	chr1	12851545	12856777	+
ENSG00000239810	PRAMEF11	chr1	12824604	12831410	-	""			""
ENSG00000179172	HNRNPCL1	chr1	12847376	12848720	-	chr1	12907229	12908573	-
ENSG00000120952	PRAMEF2	chr1	12857085	12861909	+	chr1	12916940	12921764	+
ENSG00000243073	PRAMEF4	chr1	12879211	12886201	-	chr1	12939032	12946025	-
ENSG00000187545	PRAMEF10	chr1	12892249	12898270	-	chr1	12952080	12958101	-
ENSG00000204510	PRAMEF7	chr1	12916609	12920751	+	chr1	12976429	12980571	+
ENSG00000232423	PRAMEF6	chr1	12938471	12947580	-	chr1	12998301	13007406	-
ENSG00000274764	PRAMEF27	chr1	13049475	13056575	-	""			""
ENSG00000277058	HNRNPCL3	chr1	13060768	13062878	+	""			""
ENSG00000229571	PRAMEF25	chr1	13068676	13077884	+	""			""
ENSG00000275774	HNRNPCL2	chr1	13115487	13116854	-	chr1	13182959	13184326	-
ENSG00000280267	PRAMEF26	chr1	13148904	13158116	-	""			""
ENSG00000179412	HNRNPCL4	chr1	13163913	13165631	-	""			""
ENSG00000204505	PRAMEF9	chr1	13171847	13179459	+	""			""
ENSG00000279169	PRAMEF13	chr1	13196187	13201409	-	chr1	13447428	13452656	-
ENSG00000279804	PRAMEF18	chr1	13222694	13226154	-	""			""
ENSG00000270601	PRAMEF5	chr1	13254197	13263435	+	""			""
ENSG00000182330	PRAMEF8	chr1	13281303	13285137	-	chr1	13386645	13390765	-
ENSG00000237700	PRAMEF33	chr1	13303538	13308907	+	""			""
ENSG00000204501	PRAMEF15	chr1	13315580	13322598	+	""			""
ENSG00000204481	PRAMEF14	chr1	13341891	13347134	-	chr1	13668268	13673511	-
ENSG00000204480	PRAMEF19	chr1	13368430	13371947	-	chr1	13694888	13698405	-
ENSG00000204479	PRAMEF17	chr1	13389631	13392629	+	chr1	13716091	13719089	+
ENSG00000204478	PRAMEF20	chr1	13410449	13421328	+	chr1	13736906	13747803	+
ENSG00000162494	LRRC38	chr1	13474972	13514003	-	chr1	13801440	13840498	-
ENSG00000162493	PDPN	chr1	13583464	13617957	+	chr1	13909959	13944452	+
ENSG00000116731	PRDM2	chr1	13700187	13825079	+	chr1	14026682	14151574	+
ENSG00000189337	KAZN	chr1	13892791	15118043	+	chr1	14219286	15444539	+
ENSG00000171729	TMEM51	chr1	15152497	15220484	+	chr1	15478993	15546980	+
ENSG00000142621	FHAD1	chr1	15236520	15400283	+	chr1	15563016	15726779	+
ENSG00000142634	EFHD2	chr1	15409848	15430339	+	chr1	15736344	15756835	+
ENSG00000162438	CTRC	chr1	15438441	15449242	+	chr1	15764937	15775737	+
ENSG00000142615	CELA2A	chr1	15456727	15472091	+	chr1	15783222	15798586	+
ENSG00000215704	CELA2B	chr1	15465908	15491395	+	chr1	15792403	15817890	+
ENSG00000132906	CASP9	chr1	15490831	15526534	-	chr1	15817326	15853029	-
ENSG00000116138	DNAJC16	chr1	15526812	15592379	+	chr1	15853307	15918874	+
ENSG00000116771	AGMAT	chr1	15571698	15585078	-	chr1	15898193	15911573	-
ENSG00000197312	DDI2	chr1	15617457	15669044	+	chr1	15943952	15995539	+
ENSG00000215695	RSC1A1	chr1	15659712	15662033	+	chr1	15986207	15988528	+
ENSG00000116786	PLEKHM2	chr1	15681460	15734769	+	chr1	16007955	16061264	+
ENSG00000162461	SLC25A34	chr1	15736175	15741392	+	chr1	16062670	16067887	+
ENSG00000162460	TMEM82	chr1	15742498	15747982	+	chr1	16068993	16074477	+
ENSG00000162458	FBLIM1	chr1	15756603	15786594	+	chr1	16083098	16113089	+
ENSG00000233954	UQCRHL	chr1	15807168	15809348	-	chr1	16133663	16135843	-
ENSG00000065526	SPEN	chr1	15836094	15940456	+	chr1	16162589	16266951	+
ENSG00000116809	ZBTB17	chr1	15940402	15976132	-	chr1	16266897	16302627	-
ENSG00000183888	SRARP	chr1	16004235	16008807	+	chr1	16330730	16335302	+
ENSG00000173641	HSPB7	chr1	16014027	16020597	-	chr1	16340522	16347092	-
ENSG00000186510	CLCNKA	chr1	16018145	16034109	+	chr1	16344640	16360604	+
ENSG00000184908	CLCNKB	chr1	16040251	16057367	+	chr1	16366746	16383862	+
ENSG00000185519	FAM131C	chr1	16057768	16073651	-	chr1	16384263	16400146	-
ENSG00000142627	EPHA2	chr1	16124336	16156069	-	chr1	16450831	16482564	-
ENSG00000142632	ARHGEF19	chr1	16197853	16212893	-	chr1	16524348	16539388	-
ENSG00000132881	CPLANE2	chr1	16231691	16237183	-	chr1	16558186	16563678	-
ENSG00000037637	FBXO42	chr1	16246839	16352487	-	chr1	16573334	16678982	-
ENSG00000055070	SZRD1	chr1	16352574	16398147	+	chr1	16679069	16724642	+
ENSG00000187144	SPATA21	chr1	16387116	16437424	-	chr1	16713611	16763919	-
ENSG00000157191	NECAP2	chr1	16440706	16460081	+	chr1	16767201	16786576	+
ENSG00000219481	NBPF1	chr1	16562318	16613562	-	chr1	16888813	16940057	-
ENSG00000058453	CROCC	chr1	16740272	16972964	+	chr1	17066767	17299459	+
ENSG00000117122	MFAP2	chr1	16974497	16981616	-	chr1	17300992	17308111	-
ENSG00000159363	ATP13A2	chr1	16985957	17011928	-	chr1	17312452	17338423	-
ENSG00000117118	SDHB	chr1	17018663	17054151	-	chr1	17345158	17380646	-
ENSG00000117115	PADI2	chr1	17066760	17119459	-	chr1	17393255	17445954	-
ENSG00000142623	PADI1	chr1	17205127	17246007	+	chr1	17531622	17572502	+
ENSG00000142619	PADI3	chr1	17249097	17284233	+	chr1	17575592	17610728	+
ENSG00000159339	PADI4	chr1	17308194	17364004	+	chr1	17634689	17690499	+
ENSG00000276747	PADI6	chr1	17372195	17401699	+	chr1	17698690	17728195	+
ENSG00000179051	RCC2	chr1	17406754	17439772	-	chr1	17733250	17766268	-
ENSG00000074964	ARHGEF10L	chr1	17539367	17697876	+	chr1	17865862	18024371	+
ENSG00000117148	ACTL8	chr1	17755332	17827063	+	chr1	18081827	18153558	+
ENSG00000117154	IGSF21	chr1	18107709	18378483	+	chr1	18434203	18704977	+
ENSG00000179023	KLHDC7A	chr1	18480929	18485974	+	chr1	18807423	18812468	+
ENSG00000009709	PAX7	chr1	18630845	18748876	+	chr1	18957339	19075370	+
ENSG00000179002	TAS1R2	chr1	18839598	18859660	-	chr1	19166092	19186154	-
ENSG00000159423	ALDH4A1	chr1	18871424	18902799	-	chr1	19197918	19229293	-
ENSG00000169991	IFFO2	chr1	18904279	18956676	-	chr1	19230773	19283170	-
ENSG00000127481	UBR4	chr1	19074509	19210266	-	chr1	19401003	19536760	-
ENSG00000127463	EMC1	chr1	19215659	19251552	-	chr1	19542153	19578046	-
ENSG00000053372	MRTO4	chr1	19251795	19260128	+	chr1	19578289	19586622	+
ENSG00000211454	AKR7L	chr1	19265981	19274194	-	chr1	19592475	19600688	-
ENSG00000162482	AKR7A3	chr1	19282495	19288823	-	chr1	19608989	19615317	-
ENSG00000053371	AKR7A2	chr1	19301990	19312144	-	chr1	19628484	19638638	-
ENSG00000040487	SLC66A1	chr1	19312283	19329300	+	chr1	19638777	19655794	+
ENSG00000077549	CAPZB	chr1	19338774	19485600	-	chr1	19665268	19812094	-
ENSG00000173436	MICOS10	chr1	19484402	19629821	+	chr1	19810896	19956315	+
ENSG00000158747	NBL1	chr1	19596978	19658456	+	chr1	19923472	19984949	+
ENSG00000158748	HTR6	chr1	19664874	19680966	+	chr1	19991367	20007459	+
ENSG00000162542	TMCO4	chr1	19682206	19800500	-	chr1	20008699	20126993	-
ENSG00000178828	RNF186	chr1	19814028	19815283	-	chr1	20140521	20141776	-
ENSG00000169914	OTUD3	chr1	19882394	19912945	+	chr1	20208887	20239438	+
ENSG00000188784	PLA2G2E	chr1	19920008	19923617	-	chr1	20246501	20250110	-
ENSG00000188257	PLA2G2A	chr1	19975430	19980462	-	chr1	20301923	20306955	-
ENSG00000127472	PLA2G5	chr1	20028178	20091911	+	chr1	20354671	20418404	+
ENSG00000117215	PLA2G2D	chr1	20111938	20119566	-	chr1	20438431	20446059	-
ENSG00000158786	PLA2G2F	chr1	20139322	20150381	+	chr1	20465815	20476874	+
ENSG00000187980	PLA2G2C	chr1	20161252	20186518	-	chr1	20487745	20513011	-
ENSG00000162543	UBXN10	chr1	20183292	20196050	+	chr1	20509785	20522543	+
ENSG00000158816	VWA5B1	chr1	20290874	20359534	+	chr1	20617367	20686027	+
ENSG00000162545	CAMK2N1	chr1	20482390	20486210	-	chr1	20808883	20812703	-
ENSG00000090432	MUL1	chr1	20499444	20508151	-	chr1	20825937	20834644	-
ENSG00000183114	FAM43B	chr1	20552572	20555020	+	chr1	20879065	20881513	+
ENSG00000158825	CDA	chr1	20588931	20618908	+	chr1	20915424	20945401	+
ENSG00000158828	PINK1	chr1	20633457	20651511	+	chr1	20959950	20978004	+
ENSG00000244038	DDOST	chr1	20651766	20661544	-	chr1	20978259	20988037	-
ENSG00000117245	KIF17	chr1	20664010	20718017	-	chr1	20990503	21044510	-
ENSG00000189410	SH2D5	chr1	20719723	20732837	-	chr1	21046216	21059330	-
ENSG00000127483	HP1BP3	chr1	20739094	20787323	-	chr1	21065587	21113816	-
ENSG00000075151	EIF4G3	chr1	20806291	21177285	-	chr1	21132784	21503778	-
ENSG00000117298	ECE1	chr1	21217246	21345572	-	chr1	21543739	21672065	-
ENSG00000142794	NBPF3	chr1	21440098	21485005	+	chr1	21766591	21811498	+
ENSG00000162551	ALPL	chr1	21509396	21578410	+	chr1	21835889	21904903	+
ENSG00000076864	RAP1GAP	chr1	21596214	21669846	-	chr1	21922707	21996339	-
ENSG00000090686	USP48	chr1	21678297	21783606	-	chr1	22004790	22110099	-
ENSG00000187942	LDLRAD2	chr1	21812264	21825225	+	chr1	22138757	22151718	+
ENSG00000142798	HSPG2	chr1	21822243	21937310	-	chr1	22148736	22263803	-
ENSG00000219073	CELA3B	chr1	21977021	21998642	+	chr1	22303514	22325135	+
ENSG00000142789	CELA3A	chr1	22001656	22012542	+	chr1	22328149	22339035	+
ENSG00000070831	CDC42	chr1	22052626	22101360	+	chr1	22379119	22427853	+
ENSG00000162552	WNT4	chr1	22117312	22143969	-	chr1	22443805	22470462	-
ENSG00000184677	ZBTB40	chr1	22428837	22531157	+	chr1	22755330	22857650	+
ENSG00000070886	EPHA8	chr1	22563488	22603595	+	chr1	22889981	22930088	+
ENSG00000173372	C1QA	chr1	22635056	22639681	+	chr1	22961549	22966174	+
ENSG00000159189	C1QC	chr1	22642557	22648110	+	chr1	22969050	22974603	+
ENSG00000173369	C1QB	chr1	22652712	22661637	+	chr1	22979205	22988130	+
ENSG00000133216	EPHB2	chr1	22710838	22921500	+	chr1	23037331	23247993	+
ENSG00000215906	LACTBL1	chr1	22953042	22972866	-	chr1	23279535	23299359	-
ENSG00000227868	TEX46	chr1	23010833	23019100	-	chr1	23337326	23345593	-
ENSG00000004487	KDM1A	chr1	23019394	23083693	+	chr1	23345887	23410186	+
ENSG00000169641	LUZP1	chr1	23084029	23178152	-	chr1	23410522	23504645	-
ENSG00000179546	HTR1D	chr1	23190177	23217547	-	chr1	23516670	23544040	-
ENSG00000125944	HNRNPR	chr1	23303770	23344358	-	chr1	23630263	23670851	-
ENSG00000125945	ZNF436	chr1	23359447	23369836	-	chr1	23685940	23696329	-
ENSG00000204219	TCEA3	chr1	23370590	23425169	-	chr1	23697083	23751662	-
ENSG00000088280	ASAP3	chr1	23428560	23484637	-	chr1	23755053	23811130	-
ENSG00000007968	E2F2	chr1	23506437	23531233	-	chr1	23832929	23857725	-
ENSG00000117318	ID3	chr1	23557916	23559883	-	chr1	23884407	23886374	-
ENSG00000142676	RPL11	chr1	23691684	23696835	+	chr1	24018174	24023325	+
ENSG00000011007	ELOA	chr1	23743447	23762059	+	chr1	24069937	24088549	+
ENSG00000057757	PITHD1	chr1	23778392	23788232	+	chr1	24104882	24114722	+
ENSG00000011009	LYPLA2	chr1	23791109	23795544	+	chr1	24117599	24122034	+
ENSG00000117308	GALE	chr1	23795598	23800781	-	chr1	24122088	24127271	-
ENSG00000117305	HMGCL	chr1	23801876	23838620	-	chr1	24128366	24165110	-
ENSG00000179163	FUCA1	chr1	23845076	23868356	-	chr1	24171566	24194846	-
ENSG00000188822	CNR2	chr1	23870514	23913362	-	chr1	24197004	24239852	-
ENSG00000189266	PNRC2	chr1	23956838	23963776	+	chr1	24283328	24290266	+
ENSG00000188529	SRSF10	chr1	23964346	23980927	-	chr1	24290836	24307417	-
ENSG00000142661	MYOM3	chr1	24056034	24112190	-	chr1	24382524	24438680	-
ENSG00000142677	IL22RA1	chr1	24119770	24143165	-	chr1	24446260	24469655	-
ENSG00000185436	IFNLR1	chr1	24154167	24187959	-	chr1	24480657	24514449	-
ENSG00000158055	GRHL3	chr1	24199557	24364482	+	chr1	24526047	24690972	+
ENSG00000001460	STPG1	chr1	24355885	24416934	-	chr1	24682375	24743424	-
ENSG00000001461	NIPAL3	chr1	24413526	24476735	+	chr1	24740016	24803225	+
ENSG00000117602	RCAN3	chr1	24502339	24541040	+	chr1	24828829	24867530	+
ENSG00000184454	NCMAP	chr1	24556075	24609328	+	chr1	24882566	24935819	+
ENSG00000133226	SRRM1	chr1	24631715	24673281	+	chr1	24958206	24999772	+
ENSG00000169504	CLIC4	chr1	24745341	24844321	+	chr1	25071832	25170812	+
ENSG00000020633	RUNX3	chr1	24899510	24965121	-	chr1	25226001	25291612	-
ENSG00000117614	SYF2	chr1	25222275	25232504	-	chr1	25548766	25558995	-
ENSG00000117616	RSRP1	chr1	25242247	25338244	-	chr1	25568738	25664735	-
ENSG00000187010	RHD	chr1	25272392	25330445	+	chr1	25598883	25656936	+
ENSG00000183726	TMEM50A	chr1	25338294	25362362	+	chr1	25664785	25688853	+
